bowler,balls_bowled,wickets_taken,runs_conceded,matches_played,wickets_per_match,economy,bowling_score
Kl Nagarkoti,185,5,287,11,0.45454545454545453,9.308108108108108,3.112395732038575
Hr Shokeen,213,5,320,13,0.38461538461538464,9.014084507042254,3.0991105744616516
Tm Dilshan,275,5,368,25,0.2,8.02909090909091,3.0649094171874594
V Kohli,264,5,371,26,0.19230769230769232,8.431818181818182,3.0621812121982885
D Du Preez,43,4,56,2,2.0,7.813953488372093,2.8255952348196574
Arjun Tendulkar,83,4,117,5,0.8,8.457831325301205,2.5836467208508864
Shivam Sharma,114,4,165,5,0.8,8.68421052631579,2.5830303003783293
T Stubbs,37,4,69,5,0.8,11.18918918918919,2.5778743945377958
Dj Muthuswami,84,4,108,6,0.6666666666666666,7.714285714285714,2.5592592558984912
Ankit Soni,112,4,145,6,0.6666666666666666,7.767857142857142,2.5590804564555425
S Dhawan,49,4,72,6,0.6666666666666666,8.816326530612246,2.5560185159454307
Wa Mota,75,4,98,7,0.5714285714285714,7.84,2.5397959151134946
A Badoni,35,4,50,7,0.5714285714285714,8.571428571428571,2.5376190448968257
Le Plunkett,154,4,228,7,0.5714285714285714,8.883116883116882,2.5368003316342147
Y Nagar,72,4,125,8,0.5,10.416666666666666,2.5191999981568003
Dp Vijaykumar,159,4,205,9,0.4444444444444444,7.735849056603773,2.5147425440834166
Parvez Rasool,200,4,273,11,0.36363636363636365,8.19,2.4971472941656097
Daj Bracewell,25,3,32,1,3.0,7.68,2.426041663275825
Sachin Baby,10,3,8,2,1.5,4.8,2.1416666579861126
Sm Boland,43,3,56,2,1.5,7.813953488372093,2.1255952348196576
Rs Hangargekar,43,3,60,2,1.5,8.372093023255813,2.123888886035494
A Uniyal,38,3,67,2,1.5,10.578947368421053,2.1189054708497315
K Santokie,51,3,91,2,1.5,10.705882352941176,2.1186813169363603
R Ninan,36,3,65,2,1.5,10.833333333333334,2.1184615367573967
Jw Hastings,61,3,66,3,1.0,6.491803278688525,2.0308080760623923
Sm Harwood,67,3,74,3,1.0,6.6268656716417915,2.0301801756259645
Jj Van Der Wath,76,3,134,3,1.0,10.578947368421053,2.0189054708497314
Dj Thornely,44,3,40,4,0.75,5.454545454545455,1.9866666599444454
Rj Peterson,48,3,70,4,0.75,8.75,1.9728571402448982
Gagandeep Singh,84,3,142,4,0.75,10.142857142857142,1.9697183079150964
Ja Richardson,94,3,162,4,0.75,10.340425531914894,1.969341561915528
Mj Clarke,66,3,72,5,0.6,6.545454545454546,1.950555550887346
Jm Kemp,47,3,58,5,0.6,7.404255319148937,1.94701149060477
M Siddharth,101,3,140,5,0.6,8.316831683168317,1.9440476161561793
Ghs Garton,97,3,136,5,0.6,8.412371134020617,1.943774506977785
P Sahu,107,3,152,5,0.6,8.52336448598131,1.9434649095276915
T Shamsi,120,3,185,5,0.6,9.25,1.941621619284149
Mj Henry,105,3,183,6,0.5,10.457142857142857,1.9191256812311506
Tm Head,58,3,113,6,0.5,11.689655172413794,1.9171091430791587
Sikandar Raza,88,3,146,7,0.42857142857142855,9.954545454545455,1.9058056078968924
Rn Ten Doeschate,83,3,94,10,0.3,6.795180722891566,1.8894326197820788
Vr Iyer,84,3,145,9,0.3333333333333333,10.357142857142858,1.8859770096298059
Al Menaria,113,3,144,12,0.25,7.646017699115045,1.876157403986358
V Kaverappa,24,2,36,1,2.0,9.0,1.6222222197530867
Ka Maharaj,36,2,39,2,1.0,6.5,1.4307692260355036
Ph Solanki,36,2,39,2,1.0,6.5,1.4307692260355036
Sc Kuggeleijn,50,2,71,2,1.0,8.52,1.423474175648571
Sd Chitnis,38,2,62,2,1.0,9.789473684210527,1.4204301054399353
Ma Khote,30,2,52,2,1.0,10.4,1.4192307673816569
B Geeves,49,2,91,2,1.0,11.142857142857144,1.4179487163379356
Pvsn Raju,29,2,54,2,1.0,11.172413793103448,1.4179012329656302
C Nanda,50,2,58,3,0.6666666666666666,6.959999999999999,1.362068961388559
Dnt Zoysa,69,2,100,3,0.6666666666666666,8.695652173913043,1.3563333306883336
Au Rashid,60,2,91,3,0.6666666666666666,9.1,1.3553113528961882
Rj Gleeson,73,2,111,3,0.6666666666666666,9.123287671232877,1.3552552528524022
K Yadav,54,2,85,3,0.6666666666666666,9.444444444444445,1.3545098016793542
A Flintoff,66,2,106,3,0.6666666666666666,9.636363636363637,1.354088048160674
D Kalyankrishna,50,2,88,3,0.6666666666666666,10.559999999999999,1.3522727254792242
Jpr Scantlebury-Searles,45,2,89,3,0.6666666666666666,11.866666666666667,1.3501872644973278
Mohammad Hafeez,63,2,71,4,0.5,6.761904761904762,1.329577460414601
Gd Phillips,31,2,40,4,0.5,7.741935483870967,1.3258333299965281
Nd Doshi,57,2,79,4,0.5,8.31578947368421,1.324050630019228
Phkd Mendis,42,2,60,4,0.5,8.571428571428571,1.3233333306111115
Fa Allen,91,2,136,4,0.5,8.967032967032967,1.3223039190813033
Xc Bartlett,60,2,96,4,0.5,9.6,1.3208333311631948
Kt Maphaka,71,2,148,4,0.5,12.507042253521126,1.3159909897124322
P Dubey,79,2,112,5,0.4,8.506329113924052,1.3035119019978567
P Suyal,107,2,154,5,0.4,8.63551401869159,1.3031601704782054
Shoaib Malik,58,2,87,5,0.4,9.0,1.3022222197530868
Kj Abbott,102,2,182,5,0.4,10.705882352941176,1.2986813169363605
Lj Wright,75,2,125,6,0.3333333333333333,10.0,1.286666664666667
Abdul Samad,57,2,119,6,0.3333333333333333,12.526315789473685,1.282633051946661
Mayank Dagar,138,2,205,8,0.25,8.91304347826087,1.272439021872695
Mk Lomror,94,2,127,11,0.18181818181818182,8.106382978723405,1.2610355493306182
Am Rahane,6,1,5,1,1.0,5.0,0.8399999920000016
Ss Mundhe,7,1,6,1,1.0,5.142857142857142,0.838888881327162
La Carseldine,7,1,6,1,1.0,5.142857142857142,0.838888881327162
Gr Napier,24,1,28,1,1.0,7.0,0.8285714244897966
Aa Kazi,13,1,21,1,1.0,9.692307692307693,0.8206349185059212
Ic Porel,26,1,42,1,1.0,9.692307692307693,0.8206349185059212
Aa Noffke,25,1,41,1,1.0,9.84,0.8203252011864632
Li Meriwala,19,1,32,1,1.0,10.105263157894738,0.8197916647081165
S Vidyut,13,1,22,1,1.0,10.153846153846155,0.8196969677571169
Aj Hosein,24,1,41,1,1.0,10.25,0.8195121932183227
A Nel,18,1,31,1,1.0,10.333333333333334,0.8193548368366286
Ss Agarwal,24,1,42,1,1.0,10.5,0.8190476172335603
Lmp Simmons,18,1,34,1,1.0,11.333333333333334,0.817647057266436
D Jansen,28,1,53,1,1.0,11.357142857142856,0.8176100613425104
Mashrafe Mortaza,28,1,59,1,1.0,12.642857142857142,0.8158192077883113
Musheer Khan,12,1,27,1,1.0,13.5,0.8148148137174211
D Brevis,3,1,8,1,1.0,16.0,0.81249999921875
Nb Singh,25,1,18,2,0.5,4.319999999999999,0.7462962855795635
T Henderson,36,1,41,2,0.5,6.833333333333333,0.7292682883997627
Bmaj Mendis,30,1,36,2,0.5,7.2,0.7277777739197536
C Bosch,45,1,56,2,0.5,7.466666666666667,0.7267857106983423
Djm Short,18,1,23,2,0.5,7.666666666666667,0.726086953119093
Pm Sarvesh Kumar,31,1,42,2,0.5,8.129032258064516,0.7246031715765939
Ss Sarkar,25,1,34,2,0.5,8.16,0.7245098009179165
Ssb Magala,37,1,52,2,0.5,8.432432432432432,0.7237179459052435
Cj Mckay,42,1,60,2,0.5,8.571428571428571,0.7233333306111114
Db Ravi Teja,18,1,28,2,0.5,9.333333333333334,0.7214285691326533
Fy Fazal,12,1,20,2,0.5,10.0,0.7199999980000001
R Powell,21,1,35,2,0.5,10.0,0.7199999980000001
Rg More,37,1,63,2,0.5,10.216216216216216,0.7195767176604799
Y Prithvi Raj,33,1,57,2,0.5,10.363636363636363,0.7192982437519239
Lb Williams,42,1,74,2,0.5,10.571428571428571,0.7189189171292916
Gs Sandhu,48,1,86,2,0.5,10.75,0.7186046494321255
L Wood,38,1,94,2,0.5,14.842105263157896,0.7134751763970625
V Viyaskanth,60,1,90,3,0.3333333333333333,9.0,0.6888888864197533
M Shahrukh Khan,18,1,29,3,0.3333333333333333,9.666666666666666,0.6873563196987715
Sa Abbott,59,1,104,3,0.3333333333333333,10.576271186440678,0.6855769212889342
Tp Sudhindra,74,1,137,3,0.3333333333333333,11.108108108108107,0.6846715312258395
Sb Joshi,55,1,82,4,0.25,8.945454545454545,0.672357721077897
Shashank Singh,31,1,52,4,0.25,10.064516129032258,0.6698717928973539
Dj Mitchell,51,1,97,4,0.25,11.411764705882353,0.6675257716601128
Naman Dhir,53,1,76,5,0.2,8.60377358490566,0.6632456113332952
Gh Vihari,43,1,48,6,0.16666666666666666,6.697674418604651,0.6631944399860153
Aj Finch,44,1,67,5,0.2,9.136363636363637,0.6618905448677016
D Salunkhe,51,1,80,5,0.2,9.411764705882353,0.6612499977421877
Se Rutherford,46,1,60,6,0.16666666666666666,7.826086956521739,0.6588888856234572
Ac Voges,56,1,76,7,0.14285714285714285,8.142857142857142,0.6531328290638881
Mk Tiwary,45,1,83,6,0.16666666666666666,11.066666666666666,0.6514056208569218
Cl White,46,1,86,6,0.16666666666666666,11.217391304347826,0.6511627891082268
Aa Jhunjhunwala,88,1,130,10,0.1,8.863636363636363,0.6425641000184092
R Ravindra,12,0,7,2,0.0,3.5,0.0571428408163312
Mw Short,25,0,25,3,0.0,6.0,0.033333327777778705
M Manhas,42,0,42,3,0.0,6.0,0.033333327777778705
Da Warner,2,0,2,1,0.0,6.0,0.033333327777778705
Rv Patel,20,0,22,1,0.0,6.6,0.030303025711662775
Nj Rimmington,18,0,20,1,0.0,6.666666666666667,0.029999995500000678
S Rana,16,0,18,3,0.0,6.75,0.02962962524005552
Nl Mccullum,30,0,35,2,0.0,7.0,0.0285714244897965
Ss Iyer,6,0,7,1,0.0,7.0,0.0285714244897965
Y Gnaneswara Rao,6,0,7,1,0.0,7.0,0.0285714244897965
Tilak Varma,23,0,28,4,0.0,7.304347826086956,0.02738094863237013
Monu Kumar,16,0,20,1,0.0,7.5,0.026666663111111585
Je Root,12,0,15,1,0.0,7.5,0.026666663111111585
C Munro,12,0,15,2,0.0,7.5,0.026666663111111585
Kr Mayers,46,0,59,6,0.0,7.695652173913043,0.025988697187909405
N Wadhera,17,0,22,2,0.0,7.764705882352941,0.025757572440312643
M Vijay,37,0,49,4,0.0,7.945945945945946,0.025170064859549663
Sa Yadav,6,0,8,1,0.0,8.0,0.024999996875000395
Rs Gavaskar,6,0,8,1,0.0,8.0,0.024999996875000395
K Goel,67,0,94,6,0.0,8.417910447761194,0.023758862425808897
Cj Green,17,0,24,1,0.0,8.470588235294118,0.023611108323688606
R Goyal,24,0,34,1,0.0,8.5,0.02352940899654012
Dj Harris,18,0,26,2,0.0,8.666666666666666,0.023076920414201493
K Upadhyay,56,0,81,3,0.0,8.678571428571429,0.023045264834290476
As Raut,30,0,45,5,0.0,9.0,0.0222222197530867
Jalaj S Saxena,18,0,27,1,0.0,9.0,0.0222222197530867
Auk Pathan,41,0,63,3,0.0,9.219512195121952,0.021693119340164307
Kaj Roach,52,0,80,2,0.0,9.230769230769232,0.0216666643194447
Tejas Baroka,21,0,33,1,0.0,9.428571428571429,0.02121211896235102
Sr Tendulkar,37,0,59,4,0.0,9.567567567567567,0.020903952617383488
R Sanjay Yadav,14,0,23,1,0.0,9.857142857142856,0.02028985301407289
S Joseph,30,0,51,1,0.0,10.2,0.019607841214917533
Bj Rohrer,7,0,12,1,0.0,10.285714285714285,0.019444442554012537
Ks Williamson,18,0,31,2,0.0,10.333333333333334,0.019354836836628697
Sz Mulani,33,0,57,2,0.0,10.363636363636363,0.01929824375192385
Sumit Kumar,22,0,38,2,0.0,10.363636363636363,0.01929824375192385
Mb Parmar,19,0,33,1,0.0,10.421052631578949,0.01919191735027056
Vivrant Sharma,21,0,37,2,0.0,10.571428571428571,0.018918917129291626
Cj Dala,19,0,34,1,0.0,10.736842105263158,0.01862744924548267
Rw Price,18,0,33,1,0.0,11.0,0.01818181652892577
Ra Shaikh,6,0,11,1,0.0,11.0,0.01818181652892577
Lrpl Taylor,13,0,24,2,0.0,11.076923076923078,0.018055553925540268
A Dananjaya,25,0,47,1,0.0,11.28,0.01773049488204833
Vs Yeligati,32,0,61,2,0.0,11.4375,0.01748633726895412
Arshad Khan (2),13,0,25,1,0.0,11.53846153846154,0.01733333183111124
Rr Bose,12,0,24,1,0.0,12.0,0.016666665277777895
Gurnoor Brar,21,0,42,1,0.0,12.0,0.016666665277777895
Gulbadin Naib,6,0,12,1,0.0,12.0,0.016666665277777895
Ra Tripathi,6,0,12,1,0.0,12.0,0.016666665277777895
J Overton,41,0,84,3,0.0,12.292682926829269,0.016269839946302704
H Sharma,30,0,62,2,0.0,12.4,0.016129030957336213
Abdur Razzak,14,0,29,1,0.0,12.428571428571427,0.016091952728233692
Suryansh Shedge,19,0,40,1,0.0,12.631578947368421,0.015833332079861213
Aman Hakim Khan,6,0,13,1,0.0,13.0,0.015384614201183526
C Ganapathy,6,0,13,1,0.0,13.0,0.015384614201183526
Mandeep Singh,12,0,26,2,0.0,13.0,0.015384614201183526
Mj Suthar,12,0,26,1,0.0,13.0,0.015384614201183526
S Midhun,13,0,29,1,0.0,13.384615384615385,0.014942527619236444
P Ray Barman,24,0,56,1,0.0,14.0,0.014285713265306197
Na Saini,15,0,35,1,0.0,14.0,0.014285713265306197
M Tiwari,6,0,14,1,0.0,14.0,0.014285713265306197
Mohit Rathee,12,0,29,1,0.0,14.5,0.013793102497027416
Sunny Gupta,19,0,47,1,0.0,14.842105263157896,0.013475176397062583
Mg Neser,25,0,62,1,0.0,14.879999999999999,0.01344085931177021
Spd Smith,2,0,5,1,0.0,15.0,0.013333332444444505
F Du Plessis,6,0,16,1,0.0,16.0,0.012499999218750049
Pwa Mulder,6,0,16,1,0.0,16.0,0.012499999218750049
S Sriram,18,0,49,2,0.0,16.333333333333332,0.01224489720949609
Ck Kapugedera,17,0,49,3,0.0,17.294117647058822,0.01156462518163732
Rr Bhatkal,12,0,35,1,0.0,17.5,0.011428570775510242
P Prasanth,6,0,18,1,0.0,18.0,0.011111110493827195
Sn Khan,2,0,6,1,0.0,18.0,0.011111110493827195
B Chipli,6,0,20,1,0.0,20.0,0.009999999500000025
Lpc Silva,6,0,21,1,0.0,21.0,0.009523809070294806
I Malhotra,6,0,23,1,0.0,23.0,0.008695651795841227
Ishan Kishan,1,0,4,1,0.0,24.0,0.008333332986111126
Atharva Taide,1,0,4,1,0.0,24.0,0.008333332986111126
Karim Janat,6,0,30,1,0.0,30.0,0.006666666444444452
Ybk Jaiswal,1,0,6,1,0.0,36.0,0.0055555554012345736
